TXNAME	GENEID	HepG2_directRNA_R1.sorted	A549_directRNA_R2.sorted	A549_directRNA_R3.sorted	HepG2_directRNA_R2.sorted	HepG2_directRNA_R3.sorted	A549_directRNA_R1.sorted
ENST00000447224	ENSG00000128242	0	1	0	0	0	0
ENST00000447261	ENSG00000215481	0	0	0	0	0	0
ENST00000447333	ENSG00000241484	0	0	0	0	0	0
ENST00000447351	ENSG00000075240	0	0	0	0	0	0
ENST00000447372	ENSG00000226954	0	0	0	0	0	0
ENST00000447376	ENSG00000099995	0	0	0	0	0	0
ENST00000447383	ENSG00000230634	0	0	0	0	0	0
ENST00000447396	ENSG00000228622	0	0	0	0	0	0
ENST00000447416	ENSG00000100031	0	0	0.5	0	0	0
ENST00000447421	ENSG00000183765	0	0	0	0	0	0
ENST00000447515	ENSG00000100083	0	0	0	0	0	0
ENST00000447565	ENSG00000232530	0	0	0	0	0	0
ENST00000447566	ENSG00000100372	0	1.04876	0	0	0	0
ENST00000447567	ENSG00000186732	0	0	0	0	0	0
ENST00000447598	ENSG00000184381	0	0	0	0	0	0
ENST00000447607	ENSG00000198125	0	0	0	0	0	0
ENST00000447704	ENSG00000230643	0	0	0	0	0	0
ENST00000447720	ENSG00000206142	0	0	0	0	0	0
ENST00000447733	ENSG00000100284	0	0	0	0	1.66667	0
ENST00000447763	ENSG00000169668	0	0	0	0	0	0
ENST00000447813	ENSG00000138867	0	3	0	0	0.5	0
ENST00000447821	ENSG00000238125	0	0	0	0	0	0
ENST00000447868	ENSG00000070010	0	2.02	0	0	0	0
ENST00000447870	ENSG00000183569	0	0	0	0	0	0
ENST00000447898	ENSG00000206195	14.73333	8.53685	4.83469	0.5	0	2
ENST00000447905	ENSG00000232254	0	0	0	0	0	0
ENST00000447919	ENSG00000100055	0	0	0	0	0	0
ENST00000447973	ENSG00000182944	0	0	0	0	0	0
ENST00000447976	ENSG00000248751	0	0	0	0	0	0
ENST00000448070	ENSG00000229286	0	0	0	0	0	0
ENST00000448072	ENSG00000100429	0	0	0	0	0	0
ENST00000448085	ENSG00000231261	0	0	0	0	0	0
ENST00000448094	ENSG00000184381	0	0	0	0	0	0
ENST00000448124	ENSG00000234479	0	0	0	0	0	0
ENST00000448275	ENSG00000224973	0	0	0	0	0	0
ENST00000448394	ENSG00000099901	0	0	0	0	0	0
ENST00000448467	ENSG00000225774	0	0	0	0	0	0
ENST00000448473	ENSG00000236235	0	0	0	0	0	0
ENST00000448492	ENSG00000159873	1.22776	0	0	0	2	1.77
ENST00000448511	ENSG00000183765	0	0	0	0	0	0
ENST00000448514	ENSG00000100121	0	0	0	0	0	0
ENST00000448601	ENSG00000236118	0	0	0	0	0	0
ENST00000448604	ENSG00000128242	0	0	0	0	0	0
ENST00000448753	ENSG00000100150	0	0	0	0	0	0
ENST00000448961	ENSG00000228122	0	0	0	0	0	0
ENST00000449017	ENSG00000244625	0	0	0	0	0	0
ENST00000449058	ENSG00000100284	33	15	9	6	1.66667	2.5
ENST00000449084	ENSG00000100336	0	0	0	0	0	0
ENST00000449103	ENSG00000196576	31.09167	35.89784	9.54308	1.71196	6.14054	3.19056
ENST00000449120	ENSG00000241973	0	0	0	0	0	0
ENST00000449126	ENSG00000233574	0	0	0	0	0	0
ENST00000449200	ENSG00000228599	0	0	0	0	0	0
ENST00000449288	ENSG00000100167	0	0	0	0	0	0
ENST00000449304	ENSG00000159307	0	0	0	0	0	0
ENST00000449424	ENSG00000206140	0	1	1.5	0	0	0
ENST00000449508	ENSG00000100284	0	0	0	0	0	0
ENST00000449635	ENSG00000100395	0	0	0	0	0	0
ENST00000449652	ENSG00000225929	0	0	0	0	0	0
ENST00000449653	ENSG00000093010	0	21.7169	0	0	0	0
ENST00000449676	ENSG00000100372	0	0	0	0	0	0
ENST00000449704	ENSG00000100038	0	0	0	0	0	0
ENST00000449711	ENSG00000234928	0	0	0	0	0	0
ENST00000449717	ENSG00000225783	0	0	0	0	0	0
ENST00000449900	ENSG00000100325	0	0	0	0	0	0
ENST00000449907	ENSG00000093072	0	0	0	0	0	0
ENST00000449918	ENSG00000070371	0	0	0	0	0	0
ENST00000449924	ENSG00000100320	1.16667	4.30946	2.45421	0	0	0
ENST00000449941	ENSG00000230345	0	0	0	0	0	0
ENST00000449944	ENSG00000100083	0	0	0	0	0	0
ENST00000450019	ENSG00000183597	0	0	0	0	0	0
ENST00000450022	ENSG00000128294	0	0	0	0	0	0
ENST00000450178	ENSG00000100209	0	0	0	1	0	0
ENST00000450203	ENSG00000225783	0	0	0	0	0	0
ENST00000450207	ENSG00000184164	0	0	0	0	0	0
ENST00000450216	ENSG00000235209	0	0	0	0	0	0
ENST00000450250	ENSG00000215347	0	0	0	0	0	0
ENST00000450340	ENSG00000235969	0	0	0	0	0	0
ENST00000450365	ENSG00000224404	0	0	0	0	0	0
ENST00000450376	ENSG00000100129	2.00832	0	0	0	0	0
ENST00000450463	ENSG00000230203	0	1	2	0	0	0
ENST00000450493	ENSG00000100109	0	0	0	0	0	0
ENST00000450579	ENSG00000100033	0	0	0	0	0	0
ENST00000450612	ENSG00000176635	0	0	0	0	0	0
ENST00000450626	ENSG00000206145	0	0	0	0	0	0
ENST00000450638	ENSG00000185339	0	0	0	0	0	0
ENST00000450651	ENSG00000183506	0.5	0	0	0	0	0
ENST00000450652	ENSG00000226872	0	0	0	0	0	0
ENST00000450664	ENSG00000183597	0	0	0	0	0	0
ENST00000450724	ENSG00000231086	0	0	0	0	0	0
ENST00000450750	ENSG00000236117	0	0	0	0	0	0
ENST00000450776	ENSG00000236611	0	0	0	0	0	0
ENST00000450787	ENSG00000198089	0	0	0	0	0	0
ENST00000450866	ENSG00000235617	0	0	0	0	0	0
ENST00000450925	ENSG00000226287	0	0.54726	0	0	0	0
ENST00000450939	ENSG00000100395	0	0	0	0	0	0
ENST00000450963	ENSG00000244625	0	0.5	0	0	0	0
ENST00000450974	ENSG00000224973	0	0	0	0	0	0
ENST00000450975	ENSG00000077942	0	0	0	0	0	0
ENST00000451058	ENSG00000099917	0	0	0	0	0	0
ENST00000451060	ENSG00000100227	2.89635	0	0	1	0	0
ENST00000451118	ENSG00000235091	0	0	0	0	0	0
ENST00000451141	ENSG00000225783	0	0	0	0	0	0
ENST00000451161	ENSG00000228839	0	0	0	0	0	0
ENST00000451166	ENSG00000241990	0	0	0	0	0	0
ENST00000451176	ENSG00000235513	0	0	0	0	0	0
ENST00000451180	ENSG00000232396	0	0	0	0	0	0
ENST00000451219	ENSG00000225971	0	0	0	0	0	0
ENST00000451224	ENSG00000230821	0	0	0	0	0	0
ENST00000451241	ENSG00000130638	0	0	0	0	0	0
ENST00000451256	ENSG00000128335	0	0	0	0	0	0
ENST00000451257	ENSG00000215498	0	0	0	0	0	0
ENST00000451283	ENSG00000100075	0	11.4242	7.45	1	0	3.51064
ENST00000451351	ENSG00000100297	0	0	0	0	0	0
ENST00000451366	ENSG00000100031	0	0	0	0	0	0
ENST00000451427	ENSG00000100129	0	0	0	0	0	0
ENST00000451451	ENSG00000237037	0	0	0	0	0	0
ENST00000451475	ENSG00000077942	0	0	0	0	0	0
ENST00000451479	ENSG00000100036	0	0	0	0	0	0
ENST00000451486	ENSG00000226471	0	0	0	0	0	0
ENST00000451509	ENSG00000166897	0	0	0	0	0	0
ENST00000451553	ENSG00000099910	0	0	0	0	0	0
ENST00000451574	ENSG00000206142	0	0	0	0	0	0
ENST00000451685	ENSG00000198125	0	0	0	0	0	0
ENST00000451761	ENSG00000100253	0	0	0	0	0	0
ENST00000451837	ENSG00000228315	0	0	0.16667	0	0	0
ENST00000451919	ENSG00000272578	0	0	0	0	0	0
ENST00000451964	ENSG00000213923	0	0	0	0	0	0
ENST00000451984	ENSG00000100116	0	0	0	0	0	0
ENST00000451997	ENSG00000100092	0	0	1	0	0	0
ENST00000451998	ENSG00000075234	0	1	1	0	0	0
ENST00000452055	ENSG00000226287	3	10.95048	4	0	0	1
ENST00000452106	ENSG00000100395	0	0	0	0	0	0
ENST00000452138	ENSG00000100225	5	8.07802	2.02763	0	0	0
ENST00000452181	ENSG00000224050	0	1	0	0	0	1
ENST00000452208	ENSG00000159496	0	0	0	0	0	0
ENST00000452228	ENSG00000099957	0	0	0	0	0	0
ENST00000452238	ENSG00000100376	0	0	0	0	0	0
ENST00000452250	ENSG00000198089	0	0	0	0	0	0
ENST00000452284	ENSG00000230513	0	1	0.5	0	0	0
ENST00000452294	ENSG00000100242	0	0	0	0	0	0
ENST00000452297	ENSG00000215771	0	0	0	0	0	0
ENST00000452326	ENSG00000225007	0	0	0	0	0	0
ENST00000452429	ENSG00000225783	0	0	0	0	0	0
ENST00000452505	ENSG00000231253	0	0	0	0	0	0
ENST00000452519	ENSG00000100106	0	0	0	0	0	0
ENST00000452542	ENSG00000184381	0	0	0	0	0	0
ENST00000452543	ENSG00000100401	0	0	0	0	0	0
ENST00000452551	ENSG00000100031	0	0	0	0	0	0
ENST00000452612	ENSG00000235954	0	0	0	0	0	0
ENST00000452649	ENSG00000100003	0	0	0	0	0	0
ENST00000452656	ENSG00000184792	0	0	1	0	0	0
ENST00000452668	ENSG00000254413	0	0	0	0	0	0
ENST00000452737	ENSG00000228315	0	0	0.16667	0	0	0
ENST00000452757	ENSG00000100218	0	0	0	0	0	0
ENST00000452794	ENSG00000184381	0	0	0	0	0	0
ENST00000452800	ENSG00000198062	0	0	0	0	0	0
ENST00000452818	ENSG00000100084	0	0	0	0	0	0
ENST00000452827	ENSG00000128242	0	1	1	0	0	0
ENST00000452946	ENSG00000243902	0	0	0	0	0	0
ENST00000452952	ENSG00000206142	0	0	0	0	0	0
ENST00000452972	ENSG00000184381	0	0	0	0	0	0
ENST00000452988	ENSG00000099949	0	0	0	0	0	0
ENST00000453023	ENSG00000225783	0	0	0	0	0	0
ENST00000453079	ENSG00000100266	0	0	0	0	0	0
ENST00000453108	ENSG00000185838	0	0	0	0	0	0
ENST00000453117	ENSG00000128294	0	0	0	0	0	0
ENST00000453160	ENSG00000100325	0	0	0	0	0	0
ENST00000453208	ENSG00000100083	0	0	0	0	0	0
ENST00000453273	ENSG00000206142	0	0	0	0	0	0
ENST00000453285	ENSG00000214161	0	0	0	0	0	0
ENST00000453303	ENSG00000100316	0	1.01523	0	0	0	1.01177
ENST00000453336	ENSG00000224973	0	0	0	0	0	0
ENST00000453344	ENSG00000100299	0	2.51279	0	0	0	0
ENST00000453395	ENSG00000225255	0	0	0	0	0	0
ENST00000453397	ENSG00000206140	0	0	0	0	0	0
ENST00000453421	ENSG00000231004	0	0	0	0	0	0
ENST00000453457	ENSG00000231933	0	0	0	0	0	0
ENST00000453479	ENSG00000128242	0	0	0	0	0	0
ENST00000453516	ENSG00000242247	0	0	0	0	0	0
ENST00000453543	ENSG00000159873	1	0	0	0	0	0
ENST00000453585	ENSG00000183762	0	0	0	0	0	0
ENST00000453616	ENSG00000227201	0	0	0	0	0	0
ENST00000453621	ENSG00000184792	0	0	0	0	0	0
ENST00000453630	ENSG00000100416	0	0	0	0	0	0
ENST00000453632	ENSG00000235954	0	0	0	0	0	0
ENST00000453634	ENSG00000254413	0	0	0	0	0	0
ENST00000453643	ENSG00000100266	0	0	0	0	0	0
ENST00000453659	ENSG00000100395	0	0	0	0	0	0
ENST00000453679	ENSG00000232218	0	0	0	0	0	0
ENST00000453743	ENSG00000227117	0	0	0	0	0	0
ENST00000453783	ENSG00000197421	0	0	0	0	0	0
ENST00000453811	ENSG00000234884	1	0	0	0	0	0
ENST00000453835	ENSG00000227484	0	0	0	0	0	0
ENST00000453866	ENSG00000233179	0	0	0	0	0	0
ENST00000453888	ENSG00000138964	0	0	0	0	0	0
ENST00000453924	ENSG00000230741	0	0	0	0	0	0
ENST00000453934	ENSG00000236858	0	0	0	0	0	0
ENST00000453962	ENSG00000100385	0	0	0	0	0	0
ENST00000453999	ENSG00000237428	0	0	0	0	0	0
ENST00000454057	ENSG00000100227	0	0	0	0	0	0
ENST00000454099	ENSG00000242247	0	0	0	0	0	0
ENST00000454123	ENSG00000229955	0	0	0	0	0	0
ENST00000454145	ENSG00000184792	0	0	0	0	0	0
ENST00000454173	ENSG00000100097	0	3	0	0	0	1
ENST00000454252	ENSG00000183765	0	0	0	0	0	0
ENST00000454253	ENSG00000236641	0	0	0	0	0	0
ENST00000454268	ENSG00000227755	0	0	0	0	0	0
ENST00000454279	ENSG00000077942	0	0	0	0	0	0
ENST00000454291	ENSG00000100060	1	0	0	0	0	0
ENST00000454349	ENSG00000100354	0	0	0	0	0	0
ENST00000454360	ENSG00000233995	0	0	0	0	0	0
ENST00000454366	ENSG00000075218	1	38	16	0	0	6
ENST00000454387	ENSG00000223726	0	0	0	0	0	0
ENST00000454439	ENSG00000232363	0	0	0	0	0	0
ENST00000454525	ENSG00000231801	0	0	0	0	0	0
ENST00000454534	ENSG00000227813	0	0	0	0	0	0
ENST00000454552	ENSG00000249590	0	0	0	0	0	0
ENST00000454577	ENSG00000244627	0	0	0	0	0	0
ENST00000454608	ENSG00000161133	0	0	0	0	0	0
ENST00000454637	ENSG00000075275	0	0	0	0	0	0
ENST00000454670	ENSG00000184381	0	0	0	0	0	0
ENST00000454685	ENSG00000100139	0	0	0	0	0	0
ENST00000454728	ENSG00000128335	0	0	0	0	0	0
ENST00000454741	ENSG00000235954	1	2	0	0	0	0
ENST00000454754	ENSG00000099991	0	0	0	0	0	0
ENST00000454778	ENSG00000128294	0	0	0	0	0	0
ENST00000454833	ENSG00000226287	0	0	0	0	0	0
ENST00000454854	ENSG00000100325	0	0	0	0	0	0
ENST00000454863	ENSG00000224277	0	0	0	0	0	0
ENST00000454926	ENSG00000225557	0	0	0	0	0	0
ENST00000454936	ENSG00000100429	0	0	0	0	0	0
ENST00000454996	ENSG00000235954	0	0	0	0	0	0
ENST00000455080	ENSG00000100109	0	0	0	0	0	0
ENST00000455125	ENSG00000100242	0	0	0	0	0	0
ENST00000455209	ENSG00000244627	0	0	0	0	0	0
ENST00000455233	ENSG00000077942	0	1	1	0	0	0
ENST00000455236	ENSG00000100101	0	0	0	0	0	0
ENST00000455251	ENSG00000232305	0	0	0	0	0	0
ENST00000455341	ENSG00000184381	0	0	0	0	0	0
ENST00000455359	ENSG00000100281	0	0	1	0	0	0
ENST00000455389	ENSG00000186654	0	1.09624	0	0	0	0
ENST00000455418	ENSG00000180957	15.8595	75.3827	21.41186	2.5	1.66667	13
ENST00000455425	ENSG00000100399	0	0	0	0	0	0
ENST00000455450	ENSG00000100296	0	0	0	0	0	0
ENST00000455483	ENSG00000100031	0	0	0	0	0	0
ENST00000455485	ENSG00000228315	1	0	0.16667	0	0	0
ENST00000455496	ENSG00000184117	0	0	0	0	0	0
ENST00000455547	ENSG00000100353	0	0	0	0	0	0
ENST00000455558	ENSG00000100077	0	0	0	0	0	0
ENST00000455578	ENSG00000172250	0	0	0	0	0	0
ENST00000455608	ENSG00000183963	0	0	0	0	0	0
ENST00000455617	ENSG00000229492	0	0	0	0	0	0
ENST00000455640	ENSG00000225783	0	0	0	0	0	0
ENST00000455726	ENSG00000182944	0	0	0	0	0	0
ENST00000455750	ENSG00000093009	0	0	0	0	0	0
ENST00000455784	ENSG00000184702	0	8	7.2917	0	0	0
ENST00000455790	ENSG00000100311	0	0	0	0	0	0
ENST00000455824	ENSG00000100380	0	0	0	0	0	0
ENST00000455843	ENSG00000184702	0	13.33333	0	0	0	0
ENST00000455915	ENSG00000100401	41.60511	153.16213	1.35234	7.37887	2.56323	14.52784
ENST00000456035	ENSG00000223461	0	0	0	0	0	0
ENST00000456048	ENSG00000183597	0	0	0	0	0	0.14286
ENST00000456069	ENSG00000075240	0	0	0	0	0	0
ENST00000456075	ENSG00000100038	0	0	0	0	0	0
ENST00000456099	ENSG00000233360	0	0	0	0	0	0
ENST00000456128	ENSG00000100284	0	0	0	0	0	0
ENST00000456143	ENSG00000213727	0	0	0	0	0	0
ENST00000456153	ENSG00000206140	1.93628	0	0	1	0	0.5
ENST00000456178	ENSG00000100150	0	0	0	0	0	0
ENST00000456225	ENSG00000223730	0	0	0	0	0	0
ENST00000456260	ENSG00000237601	0	0	0	0	0	0
ENST00000456279	ENSG00000133519	0	0	0	0	0	0
ENST00000456303	ENSG00000206140	0	0	0	0	0	0
ENST00000456369	ENSG00000183765	0	1.03173	0	0	0	0
ENST00000456470	ENSG00000100379	0	7.98948	0	0	0	0
ENST00000456595	ENSG00000100416	0	0	0	0	0	0
ENST00000456626	ENSG00000100221	0	0	0	0	0	0
ENST00000456726	ENSG00000189295	0	0	0	0	0	0
ENST00000456729	ENSG00000100345	0	0	0	0	0	0
ENST00000456740	ENSG00000226772	0	0	0	0	0	0
ENST00000456786	ENSG00000271672	0	0	0	0	0	0
ENST00000456869	ENSG00000100031	0	0	0	0	0	0
ENST00000456894	ENSG00000100242	0	0	0	0	0	0
ENST00000457060	ENSG00000189295	0	0	0	0	0	0
ENST00000457069	ENSG00000128191	0	0	0	0	0	0
ENST00000457083	ENSG00000100033	0	0	0.5	0	0	0
ENST00000457093	ENSG00000234965	0	0	0	0	0	0
ENST00000457179	ENSG00000100038	0	0	0	0	0	1
ENST00000457193	ENSG00000227755	0	0	0	0	0	0
ENST00000457241	ENSG00000100353	0	0	0	0	0	0
ENST00000457250	ENSG00000205560	0	0	0	0	0	0
ENST00000457251	ENSG00000235485	0	0	0	0	0	0
ENST00000457270	ENSG00000100038	1	1	2.11512	0	0	0
ENST00000457322	ENSG00000099917	0	0	0	0	0	0
ENST00000457518	ENSG00000235154	0	0	0	0	0	0
ENST00000457534	ENSG00000198792	0	0	0	0	0	0
ENST00000457572	ENSG00000100416	0	1.12028	4.73466	1	0	0
ENST00000457630	ENSG00000100336	0	0	0	0	0	0
ENST00000457665	ENSG00000244627	0	1	0	0	0	0
ENST00000457767	ENSG00000100359	0	0	0	0	0	0
ENST00000457780	ENSG00000100425	0	4.89748	1.05573	0	0	0
ENST00000457911	ENSG00000241717	0	0	0	0	0	0
ENST00000457960	ENSG00000186654	0	2.52949	0	0	0	0
ENST00000457992	ENSG00000100055	0	0	0	0	0	0
ENST00000458056	ENSG00000186716	0	0	0	0	0	0
ENST00000458073	ENSG00000100226	0	0	0	0	0	0
ENST00000458080	ENSG00000226471	0	0	0	0	0	0
ENST00000458154	ENSG00000235578	0	0	0	0	0	0
ENST00000458178	ENSG00000224086	0	2	0	0	0	0
ENST00000458183	ENSG00000235647	0	0	0	0	0	0
ENST00000458188	ENSG00000070371	0	0	0	0	0	0
ENST00000458248	ENSG00000099910	0	0	0	0	0	0
ENST00000458278	ENSG00000100124	10	17	4	0	0	2
ENST00000458302	ENSG00000225783	0	0	0	0	0	0
ENST00000458318	ENSG00000224277	0	0	0	0	0	0
ENST00000458366	ENSG00000224465	0	0	0	0	0	0
ENST00000458450	ENSG00000233080	0	0	0	0	0	0
ENST00000458463	ENSG00000203527	0	0	0	0	0	0
ENST00000458532	ENSG00000100150	0	0	0	0	0	0
ENST00000458554	ENSG00000272578	0	0	0	0	0	0
ENST00000458567	ENSG00000100023	0	0	0	0	0	0
ENST00000458572	ENSG00000100353	0	0	0	0	0	0
ENST00000458578	ENSG00000185651	0	0	0	0	0	0
ENST00000458594	ENSG00000100325	0	0	0	0	0.5	0
ENST00000458600	ENSG00000100372	0	0	0	0	0	0
ENST00000458605	ENSG00000182841	1	11	2	0	0	2
ENST00000458623	ENSG00000206195	0	0	0	0	0	0
ENST00000458673	ENSG00000237127	0	0	0	0	0	0
ENST00000458718	ENSG00000230481	0	0	0	0	0	0
ENST00000458891	ENSG00000238498	0	0	0	0	0	0
ENST00000459160	ENSG00000238584	0	0	0	0	0	0
ENST00000459176	ENSG00000238875	0	0	0	0	0	0
ENST00000459276	ENSG00000275635	0	0	0	0	0	0
ENST00000459538	ENSG00000239127	0	0	0	0	0	0
ENST00000459644	ENSG00000099899	0	0	0	0	0	0
ENST00000459646	ENSG00000100092	0	0	0	0	0	0
ENST00000459687	ENSG00000100410	1.02	1.00417	1	0	0	0
ENST00000459728	ENSG00000100003	0	0	0	0	0	0
ENST00000459785	ENSG00000239282	0	0	0	0	0	0
ENST00000459821	ENSG00000100425	0	0	0	0	0	0
ENST00000459824	ENSG00000099991	0	0	0	0	0	0
ENST00000459849	ENSG00000100376	0	0	0	0	0	0
ENST00000459854	ENSG00000070010	2	1.02695	4.06105	0	0	0
ENST00000459857	ENSG00000186654	0	0	0	0	0	0
ENST00000459859	ENSG00000100316	0	0	0	0	0	0
ENST00000459918	ENSG00000100099	0	0	0	0	0	0
ENST00000459956	ENSG00000187051	0	0	0	0	1	0
ENST00000459960	ENSG00000100345	0	0	0	0	0	0
ENST00000459971	ENSG00000177663	0	1	0.68905	0	0	0
ENST00000459990	ENSG00000185666	0	0	0	0	0	0
ENST00000460003	ENSG00000159496	0	0	0	0	0	0
ENST00000460077	ENSG00000187012	0	0	0	0	0	0
ENST00000460085	ENSG00000131100	0	0	0	0	0	0
ENST00000460086	ENSG00000186951	0	0	0	0	0	0
ENST00000460087	ENSG00000205593	0	0	0	0	0	0
ENST00000460167	ENSG00000159496	0	0	0	0	0	0
ENST00000460254	ENSG00000100422	2	3	4	0	0	2
ENST00000460267	ENSG00000100167	0	0	0	0	0	0
ENST00000460300	ENSG00000077942	0	0	0	0	0	0
ENST00000460313	ENSG00000100325	0	0	0	0	0	0
ENST00000460352	ENSG00000099953	0	0	0	0	0	0
ENST00000460402	ENSG00000185838	0	1.05551	0	0	0	0
ENST00000460449	ENSG00000100351	0	0	0	0	0	0
ENST00000460507	ENSG00000056487	0	0	0	0	0	0
ENST00000460524	ENSG00000178026	0	0	0	0	0	0
ENST00000460538	ENSG00000077942	0	0	0	0	0	0
ENST00000460566	ENSG00000180957	0	0	0	0	0	0
ENST00000460589	ENSG00000100316	0	0	0	0	0.5137	0
ENST00000460605	ENSG00000100226	0	0	0	0	0	0
ENST00000460638	ENSG00000100129	0.00001	0	0	0	0	0
ENST00000460642	ENSG00000198832	0	0	0	0	0	0
ENST00000460648	ENSG00000100142	0	0	0	0	0	0
ENST00000460658	ENSG00000183963	0	0	0	0	0	0
ENST00000460702	ENSG00000167077	0	0	0	0	0	0
ENST00000460723	ENSG00000241878	0	3.56566	0	0	0	0
ENST00000460790	ENSG00000172346	0	0	0	0	0	0
ENST00000460809	ENSG00000241484	0	1	0	0	0	0
ENST00000460824	ENSG00000100162	0	0	0	0	0	0
ENST00000460853	ENSG00000205560	0	0	0	0	0	0
ENST00000460957	ENSG00000100083	0	0	0	0	0	0
ENST00000461076	ENSG00000099917	0	0	0	0	0	0
ENST00000461082	ENSG00000100351	0	0	0	0	0	0
ENST00000461117	ENSG00000205560	0	0	0	0	0	0
ENST00000461194	ENSG00000093000	0	0	0	0	0	0
ENST00000461241	ENSG00000185133	0	0	0	0.25795	0	0
ENST00000461267	ENSG00000100075	0	1.00279	0	0	0	0
ENST00000461286	ENSG00000225465	0	0	1	0	0	0
ENST00000461301	ENSG00000167065	0	0	0	0	0	0
ENST00000461307	ENSG00000243156	0	4	2	0	0	0
ENST00000461374	ENSG00000197077	0	0	0	0	0	0
ENST00000461428	ENSG00000100226	0	0	0	0	0	0
ENST00000461437	ENSG00000093000	0	0	0	0	0	0.5
ENST00000461446	ENSG00000185666	0	0	0	0	0	0
ENST00000461510	ENSG00000099949	0	0	0	0	0	0
ENST00000461595	ENSG00000159307	0	0	0	0	0	0
ENST00000461607	ENSG00000100385	0	0	0	0	0	0
ENST00000461722	ENSG00000183530	0	0	0	0	0	0
ENST00000461730	ENSG00000183066	0	0	0	0	0	0
ENST00000461775	ENSG00000100324	0	0	0	0	0	0
ENST00000461800	ENSG00000186976	0	0	0	0	0	0
ENST00000461808	ENSG00000169668	0	1	0	0	0	0
ENST00000461809	ENSG00000133460	15.19887	18	4	1	1.5	2
ENST00000461827	ENSG00000239713	0	0	0	0	0	0
ENST00000461833	ENSG00000205853	0	0	0	0	0	0
ENST00000461967	ENSG00000100316	0	0	0	0	0	0
ENST00000462073	ENSG00000099992	0	0	0	0	0	0
ENST00000462188	ENSG00000100023	0	0	0	0	0	0
ENST00000462210	ENSG00000241973	0	0	0	0	0	0
ENST00000462238	ENSG00000184319	2.85714	20.56373	12.65137	0	0	1.33333
ENST00000462246	ENSG00000167077	0	0	0	0	0	0
ENST00000462253	ENSG00000184164	0	0	0	0	0	0
ENST00000462268	ENSG00000185666	0	0	0	0	0	0
ENST00000462319	ENSG00000099889	0	0	0	0	0	0
ENST00000462330	ENSG00000184470	0	22.93257	11.34618	0	0	2.80176
ENST00000462332	ENSG00000100226	0	0	0	0	0	0
ENST00000462361	ENSG00000100376	0	0	0	0	0	0
ENST00000462414	ENSG00000100150	0	0	0	0	0	0
ENST00000462450	ENSG00000167077	0	0	0	0	0	0
ENST00000462454	ENSG00000100325	0	0	0	0	0	0
ENST00000462457	ENSG00000100359	0	0	0	0	0	0
ENST00000462539	ENSG00000198911	0	0	0	0	0	0
ENST00000462560	ENSG00000183506	0	0	0	0	1	0
ENST00000462579	ENSG00000183597	0	0	0	0	0	0
ENST00000462606	ENSG00000133424	0	0	0	0	0	0
ENST00000462610	ENSG00000100221	0	0	0	0	0	0
ENST00000462625	ENSG00000182541	0	0	0	0	0	0
ENST00000462631	ENSG00000056487	0	0	0	0	0	0
ENST00000462640	ENSG00000100379	0	0	0	0	0	0
ENST00000462641	ENSG00000100353	0	0	0	0	0	0
ENST00000462645	ENSG00000243156	0	0	0	0	0	0
ENST00000462794	ENSG00000100353	0	0	0	0	0	0
ENST00000462843	ENSG00000184470	0	0	1	0	0	0
ENST00000462927	ENSG00000100055	0	0	0	0	0	0
ENST00000463027	ENSG00000100345	0	0	0	0	0	0
ENST00000463033	ENSG00000069998	0	0	0	0	0	0
ENST00000463053	ENSG00000100288	0	0	0	0	0	0
ENST00000463101	ENSG00000099994	0	1.28571	0	0	0.5	1.33333
ENST00000463133	ENSG00000100227	0	0	0	0	0	0
ENST00000463165	ENSG00000196576	1.64854	4.6444	1.55435	0	0	0
ENST00000463203	ENSG00000100325	0	0	0	0	0	0
ENST00000463233	ENSG00000170638	2.36434	0	0	0	0	4.64581
ENST00000463287	ENSG00000184381	0	0	0	0	0	0
ENST00000463319	ENSG00000099999	0	0	0	0	0	0
ENST00000463325	ENSG00000184319	0	0	0	0	0	0
ENST00000463436	ENSG00000198089	0	0	0	0	0	0
ENST00000463455	ENSG00000100220	0	0	0	0.65984	0	0
ENST00000463472	ENSG00000177989	0.66667	1.56554	0	0	0	0
ENST00000463509	ENSG00000100320	0	0	0	0	0	0
ENST00000463528	ENSG00000185133	0	0	0	0	0	0
ENST00000463608	ENSG00000183506	0	0	0	0	0	0
ENST00000463617	ENSG00000100417	0	0	0	0	0	0
ENST00000463672	ENSG00000100083	0	0	0	0	0	0
ENST00000463675	ENSG00000100138	0	0	0	0	0	0
ENST00000463710	ENSG00000099899	0	0	0	0	0	0
ENST00000463741	ENSG00000198911	0	0	0	0	0	0
ENST00000463769	ENSG00000196588	0	0	0	0	0	0
ENST00000463770	ENSG00000186716	0	0	0	0	0	0
ENST00000463785	ENSG00000100416	0	0	0	0	0	0
ENST00000463795	ENSG00000239282	0	0	0	0	0	0
ENST00000463818	ENSG00000099995	0	0	0	0	0	0
ENST00000463821	ENSG00000244296	0	0	0	0	0	0
ENST00000463886	ENSG00000100418	1	0	0	0	0	0
ENST00000463909	ENSG00000099949	0	0	0	0	0	0
ENST00000463934	ENSG00000239713	0	0	0	0	0	0
ENST00000463936	ENSG00000040608	0	0	0	0	0	0
ENST00000464015	ENSG00000161179	4.75065	0	0	0	0	0
ENST00000464023	ENSG00000099958	0	0	0	0	0	0
ENST00000464034	ENSG00000099958	0	0	0	0	0	0
ENST00000464059	ENSG00000198792	0	0	0	0	0	0
